activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,False,False,False,False,False,False,False,False,False,False,0Pp,Aplicación de IA,Aplicaciones de IA,False,False,False,AIApplication,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIApplication/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIApplication/describe'), ('sobject', '/services/data/v57.0/sobjects/AIApplication')])"
False,,,False,False,False,False,False,False,False,False,False,False,6S9,Configuración de aplicación de IA,Configuraciones de aplicación de IA,False,False,False,AIApplicationConfig,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIApplicationConfig/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIApplicationConfig/describe'), ('sobject', '/services/data/v57.0/sobjects/AIApplicationConfig')])"
False,,,False,False,False,False,False,False,False,False,False,False,9qd,Acción de perspectivas de IA,Acciones de perspectivas de IA,False,False,False,AIInsightAction,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightAction/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightAction/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightAction')])"
False,,,False,False,False,False,False,False,False,False,False,False,9bq,Comentario de perspectivas de IA,Comentarios de perspectivas de IA,False,False,False,AIInsightFeedback,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightFeedback/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightFeedback/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightFeedback')])"
False,,,False,False,False,False,False,False,False,False,False,False,0T2,Motivo de perspectivas de IA,Motivos de perspectivas de IA,False,False,False,AIInsightReason,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightReason/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightReason/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightReason')])"
False,,,False,False,False,False,False,False,False,False,False,False,9qc,Valor de perspectivas de IA,Valores de perspectivas de IA,False,False,False,AIInsightValue,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightValue/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightValue/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightValue')])"
False,,,False,False,False,False,False,False,False,False,False,False,0ae,Evento de predicción de IA,Eventos de predicción de IA,False,False,False,AIPredictionEvent,False,False,False,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIPredictionEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AIPredictionEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AIPredictionEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AIPredictionEvent')])"
False,,,False,False,False,False,True,False,False,False,False,False,9qb,Perspectiva de registros de IA,Perspectivas de registros de IA,False,False,False,AIRecordInsight,True,True,True,False,True,True,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIRecordInsight/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIRecordInsight/describe'), ('sobject', '/services/data/v57.0/sobjects/AIRecordInsight')])"
False,,,False,False,False,False,False,False,False,False,False,False,,Relación de Evento aceptada,Relaciones de Evento aceptadas,False,False,False,AcceptedEventRelation,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AcceptedEventRelation/{ID}'), ('describe', '/services/data/v57.0/sobjects/AcceptedEventRelation/describe'), ('sobject', '/services/data/v57.0/sobjects/AcceptedEventRelation')])"
False,,,True,False,False,False,True,False,True,False,False,False,001,Cuenta,Cuentas,True,True,True,Account,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Account/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Account/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Account/describe/approvalLayouts'), ('listviews', '/services/data/v57.0/sobjects/Account/listviews'), ('describe', '/services/data/v57.0/sobjects/Account/describe'), ('quickActions', '/services/data/v57.0/sobjects/Account/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Account/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Account')])"
